area,ward,winner,party,votes
Balussery,1,Kaniyarath Vilasini,CPI,6783
Balussery,2,D K  Sreedharan,CPI(M),6338
Balussery,3,Malayil Abdul Salam,JD(S),5530
Balussery,4,Jobi Kanjirathum Kuzhiyil,DIC(K),5126
Balussery,5,C P Balan Master,CPI(M),4952
Balussery,6,Kalathil Ahammmed,INDEPENDENT,4999
Balussery,7,Girija Thekkedath,CPI(M),6315
Balussery,8,K V Balakrishnan,CPI(M),5879
Balussery,9,P M Sarojini,CPI(M),6043
Balussery,10,D K Thankamani,CPI(M),6653
Balussery,11,K M Sivandan,JD(S),5417
Balussery,12,K P Babu,CPI(M),6786
Balussery,13,Kunnoth Shailaja,NCP,6962
Balussery,14,Reenakumari D,CPI(M),6574
Chelannur,1,Oram Pokkil Shobhana,CPI(M),5753
Chelannur,2,Gangadharan Nair Nedum parambath,DIC(K),5731
Chelannur,3,C Balan Master,CPI(M),4367
Chelannur,4,Ramani P K,JD(S),4139
Chelannur,5,L A Shekaran,CPI(M),4682
Chelannur,6,V Jithendranadan,INDEPENDENT,4555
Chelannur,7,P Pradeepkumar,JD(S),5369
Chelannur,8,Edakkaramkandi Meethal Shailaja,INC,
Chelannur,9,V Mukundan,CPI(M),6577
Chelannur,10,Makkadol Gopalan,CPI(M),5097
Chelannur,11,K M Hassan Koya,CPI(M),4924
Chelannur,12,Sugeetha Vasudevan,DIC(K),5208
Chelannur,13,D P Vijayan,NCP,4603
Chelannur,14,Kanathil Jameela,CPI(M),5388
Koduvaliy,1,V P Gopalan Kutty,INC,4194
Koduvaliy,2,N M Poulose,CPI(M),5185
Koduvaliy,3,Advt.v C Najeeb,ML,5083
Koduvaliy,4,C V Benny,CPI,4158
Koduvaliy,5,Advt. Jaison Kaniyam Kadathil,KC(M),4378
Koduvaliy,6,Geetha Kalpakasseri,CPI(M),4425
Koduvaliy,7,Nayarukandiyil Damodharan Nair,DIC(K),3860
Koduvaliy,8,Karippukattil Jessy,CPI(M),4201
Koduvaliy,9,D K P Aboobakar,DIC(K),4905
Koduvaliy,10,Rasiya Ebrahim,ML,4461
Koduvaliy,11,K K Safeena,JD(S),4703
Koduvaliy,12,A M Balan,CPI(M),4948
Koduvaliy,13,N C Muhammed,INDEPENDENT,4266
Koduvaliy,14,Naufira Muhammed,CPI(M),4104
Koduvaliy,15,Thankamoni,INC,4333
Koduvaliy,16,K C Mamu Master,ML,4406
Kozhikode,1,Sindhu,CPI(M),4474
Kozhikode,2,Assan koya,CPI(M),5117
Kozhikode,3,K P Sasi,CPI(M),4766
Kozhikode,4,K T Jayalakshmi,DIC(K),6227
Kozhikode,5,Sasidharan M M,CPI(M),6505
Kozhikode,6,Usha Palakkottu,CPI(M),5990
Kozhikode,7,P M Prabhakaran Master,CPI(M),4918
Kozhikode,8,R Sujanapal,CPI,3929
Kozhikode,9,Vijayan P Menon,CPI(M),3950
Kozhikode,10,Bindhu Sreenivasan,INDEPENDENT,3894
Kozhikode,11,K T A Majeed,NCP,4503
Kozhikode,12,Chayichutti Mampayil,CPI(M),6113
Kozhikode,13,M Shaharban,ML,5057
Kozhikode,14,Kizhakkethodi Premarajan,CMP,4719
Kozhikode,15,Malai Nandini,JD(S),3712
Kozhikode,16,Karuvalli Sasidharan,CPI(M),4003
Kozhikode,17,P Kunjimoidheen,DIC(K),2718
Kunnamangalam,1,Grecy Thomas,INC,5661
Kunnamangalam,2,Thomas Kayathunkal (Thankachan),INC,4297
Kunnamangalam,3,V Beeran Koya,NCP,4822
Kunnamangalam,4,C A Pradeep Kumar,CPI(M),5211
Kunnamangalam,5,Pradeep Kappala,CPI(M),5580
Kunnamangalam,6,Babu Polukunnath,INC,4838
Kunnamangalam,7,K D Mansur,INC,4328
Kunnamangalam,8,C Embichi Beevi Teacher,INDEPENDENT,5044
Kunnamangalam,9,C P Gopalapilla,CPI(M),4590
Kunnamangalam,10,M P Ashokan,CPI(M),5867
Kunnamangalam,11,Nadaikal Padmanabhan Nair,JD(S),5682
Kunnamangalam,12,Sumathi K,CPI(M),3790
Kunnamangalam,13,K Vishalashi Teacher,CPI(M),5528
Kunnamangalam,14,Ajitha K,CPI(M),5869
Kunnamangalam,15,N V Balan Nair,CPI(M),5463
Kunnamangalam,16,D Sreedevi,DIC(K),4687
Kunnamangalam,17,D K Velayudhan,CPI(M),5442
Kunnamangalam,18,K Rajagopalan Master,DIC(K),5394
Kunnamangalam,19,Omana Rajendran,DIC(K),5485
Kunnummal,1,Abdul Salam C P,INDEPENDENT,4473
Kunnummal,2,Ajitha Nademmal,CPI(M),5711
Kunnummal,3,Kunjikrishnan Nair P,CPI(M),6795
Kunnummal,4,Nalukandikuniyil Chandran,CPI(M),
Kunnummal,5,Surendran P,CPI(M),4693
Kunnummal,6,Ealiyamma Kudalil,CPI(M),4536
Kunnummal,7,Ajitha Kappummal,CPI(M),4943
Kunnummal,8,Thahira Manzil Aboobaker Maolavi K D,ML,3855
Kunnummal,9,Thayana Balamani,INC,4101
Kunnummal,10,Keloth Chandri,CPI,4714
Kunnummal,11,Ahamad Mailissery,CPI(M),5450
Kunnummal,12,Theyoth Balan,CPI(M),4893
Kunnummal,13,Assis K G,ML,4715
Melady,1,Manayil Surendran,CPI,2990
Melady,2,P Gopalan,CPI(M),4050
Melady,3,Sindhu Kolathodi Thazhe,DIC(K),3172
Melady,4,Sulochana Elavana Koyyapalli,INDEPENDENT,2759
