area,ward,winner,party,votes
Kozhikkode,1,A K Nanu Master,CPI(M),22095
Kozhikkode,2,Ayadathil Raveendran,JD(S),33436
Kozhikkode,3,Kallyani  E V,CPI(M),31363
Kozhikkode,4,Kallil Moosa Master,DIC(K),26049
Kozhikkode,5,K K Ragini,CPI(M),27475
Kozhikkode,6,K P Kunjammadkutty Master,CPI(M),29126
Kozhikkode,7,V K Savitharani,JD(S),28244
Kozhikkode,8,Palluruthi Joseph,CPI(M),30353
Kozhikkode,9,P Sudhakaran Master,NCP,23554
Kozhikkode,10,A K Gopalan,CPI(M),29368
Kozhikkode,11,M Lakshmi,CPI(M),26465
Kozhikkode,12,Muhammedmon Haji,ML,22300
Kozhikkode,13,Milli Mohan Kottarathil,INC,23285
Kozhikkode,14,O P I Koya,LDF (IND),22399
Kozhikkode,15,V Kunjali,JD(S),24385
Kozhikkode,16,Sreevihar Radhabhai,DIC(K),22569
Kozhikkode,17,Vasantha V Kurungottu,CPI(M),29218
Kozhikkode,18,Dinesh Perumanna,DIC(K),22202
Kozhikkode,19,K Sheeba,CPI(M),23098
Kozhikkode,20,T V Balan,CPI,18311
Kozhikkode,21,Edathodi Radhakrishnan,CPI(M),16855
Kozhikkode,22,T Moidheenkoya,CPI(M),21660
Kozhikkode,23,K Ramachandran Master,CPI(M),21961
Kozhikkode,24,M Radhakrishnan Master,CPI(M),20231
Kozhikkode,25,Poolayil Preman,CPI(M),28541
Kozhikkode,26,K Sankaran Master,JD(S),33444
Kozhikkode,27,Sholi Kakkadu,CPI,28142
Kozhikkode,28,Avala Narayanan,CPI,31981
