area,ward,winner,party,votes
Arikulam,1,Anapoyil Gangadharan,CPI(M),477
Arikulam,2,C K Narayanan,CPI(M),572
Arikulam,3,Suresh D,CPI(M),719
Arikulam,4,P T Devi,CPI(M),668
Arikulam,5,Varappurathu Laila,CPI(M),403
Arikulam,6,S Muralledharan,INC,354
Arikulam,7,Sasi E K,INC,541
Arikulam,8,K M Appu Nair,JD(S),537
Arikulam,9,Madathil Suresh Babu,DIC(K),446
Arikulam,10,C Prabhakaran,CPI(M),404
Arikulam,11,P Geethadevi,CPI(M),497
Arikulam,12,P V Komalavalli,CPI(M),463
Atholi,1,Paloral Kunjikkannan,CPI(M),644
Atholi,2,Bhaskaran Nair,DIC(K),685
Atholi,3,Sasi Moodakkuzhiyil,CPI(M),658
Atholi,4,Sugathakumari M,CPI(M),706
Atholi,5,C D Vimala,CPI(M),471
Atholi,6,N D Bindu,CPI(M),569
Atholi,7,Meledathu Mansoor,CPI(M),639
Atholi,8,A K Rajan,CPI(M),691
Atholi,9,P Viswanadan,JD(S),492
Atholi,10,Kolangara Thezha Ajitha,CPI(M),490
Atholi,11,Vazhakkayil Thazhakuni Narayanan,CPI(M),552
Atholi,12,Asokan,CPI(M),459
Atholi,13,K K Sobha,CPI(M),513
Atholi,14,Eramacham Kandy Achuthan,DIC(K),698
Atholi,15,Shyna Tharamalayil,NCP,635
Atholi,16,N V Mohan,CPI(M),556
Ayancheri,1,V .P. Geetha,INC,592
Ayancheri,2,T.B .Manaph Master,ML,633
Ayancheri,3,K.V.Hajara Teacher,ML,647
Ayancheri,4,Vellilattu Sara,ML,578
Ayancheri,5,C.V.Kunchiraman Master,CPI,569
Ayancheri,6,Kalathill Abdulla Master,INC,556
Ayancheri,7,Dhayanandhan Parakandi,INC,502
Ayancheri,8,Arayakkool Santha,INC,469
Ayancheri,9,Nochadu Kunjabdulla,ML,655
Ayancheri,10,Mampathu Kannan,CPI(M),638
Ayancheri,11,T.V.Kunchiraman Master,NCP,777
Ayancheri,12,Thayil Asya Teacher,ML,473
Ayancheri,13,K.P. Baburaj,CPI(M),605
Ayancheri,14,P.K Sajitha,CPI(M),761
Ayancheri,15,Ayyanadu Padmanabha Kurup,JD(S),622
Ayancheri,16,K.M. Kuchiraman Master,CPI(M),685
Azhiyur,1,C P Ali,ML,541
Azhiyur,2,Punathil Nazar,CPI(M),380
Azhiyur,3,Thottathil Mahija,INC,440
Azhiyur,4,Kunnumadathil Nalini,CPI(M),505
Azhiyur,5,Thottathil Sasidharan,INC,482
Azhiyur,6,P Sreedharan,CPI(M),511
Azhiyur,7,Ayisha Ummer,ML,563
Azhiyur,8,Karodi Praseetha,CPI(M),407
Azhiyur,9,K V Prakasan,CPI(M),707
Azhiyur,10,P P Sreedharan,CPI(M),830
Azhiyur,11,M P Kumaran,JD(S),453
Azhiyur,12,A T Sreedharan,JD(S),480
Azhiyur,13,C H Yamuna Teacher,JD(S),508
Azhiyur,14,Malayekkal Anithakumari,INC,657
Azhiyur,15,Maliyekkal Prasad,BJP,259
Azhiyur,16,Chalinmel Sajeevan,INDEPENDENT,616
Azhiyur,17,P K Salim,ML,355
Balusseri,1,N K Madavan Nair,CPI(M),730
Balusseri,2,Shyamala Puthukundikandy,CPI(M),634
Balusseri,3,Kamala Thaikandy,JD(S),678
Balusseri,4,K Abdul Gafur,CPI(M),675
Balusseri,5,Kinarullathil Chandran,INDEPENDENT,553
Balusseri,6,V B Vijeesh,INC,625
Balusseri,7,Sobhana Kinattinkara,BJP,589
Balusseri,8,Jyothi Illathu Padikkal,NCP,432
Balusseri,9,Mallika Kuttakkil,CPI(M),494
Balusseri,10,Sheeba Edavalathu,CPI(M),535
Balusseri,11,Parackal Balan,DIC(K),644
Balusseri,12,Abdul Basheer N V,INC,523
Balusseri,13,A P Prakasan,INC,448
Balusseri,14,K K Rajan,INDEPENDENT,564
Balusseri,15,Pringini Madavan,NCP,696
Balusseri,16,N P Nadeesh Kumar,CPI(M),710
Beypore,1,Ponnathu Peethambharan,CPI(M),749
Beypore,2,Mullasserry Ramlabee,INL,747
Beypore,3,T.V. Abdul Azeez,CPI(M),984
Beypore,4,K.Kunjamutti,CPI(M),854
Beypore,5,Malayil Mini,CPI(M),934
Beypore,6,P. Radhakrishnan,CPI(M),757
Beypore,7,A.K. Sujatha,CPI,718
Beypore,8,Madhavadas P,INC,681
Beypore,9,K Sylaja,CPI(M),923
Beypore,10,K Venugopal (Unni),INC,548
Beypore,11,Punar Valappil Salim,ML,818
Beypore,12,Thottunkal Rajan,CPI(M),907
Beypore,13,Kallai Prasanna,CPI(M),667
