area,ward,winner,party,votes
Quilandy,1,Sudeesh Anappadikkal,CPI(M),601
Quilandy,2,Bharathi Panachikunnummal,CPI(M),858
Quilandy,3,Dasan K,CPI(M),1136
Quilandy,4,Kunjikkanaran T K,CPI(M),750
Quilandy,5,Suresh P T,CPI(M),639
Quilandy,6,Balakrishnan Pandarakkandi Krishna,CPI(M),584
Quilandy,7,Balan Nair Choledathu Sunil Nivas,CPI(M),737
Quilandy,8,Nadari Bhaskaran,INC,574
Quilandy,9,T P Ramadas,CPI(M),720
Quilandy,10,P K Gangadharan,CPI(M),647
Quilandy,11,Chandran T K,CPI(M),573
Quilandy,12,T Binduraj,DIC(K),646
Quilandy,13,Kappa Haridasan,DIC(K),556
Quilandy,14,Anil Kumar R K,CPI(M),575
Quilandy,15,Indira Teacher,CPI(M),547
Quilandy,16,Girija Thettiyil,CPI(M),520
Quilandy,17,Vijila K K,CPI(M),489
Quilandy,18,Madhavan P V,CPI(M),880
Quilandy,19,S N G SunilKumar,JD(S),836
Quilandy,20,Rakhavan Thettathu,CPI(M),551
Quilandy,21,P Krishnan,CPI(M),705
Quilandy,22,K P Nanu,CPI(M),580
Quilandy,23,Cheruvakkattu Raman,DIC(K),486
Quilandy,24,S K Vinod,CPI(M),452
Quilandy,25,Nottichikandi Nalini,CPI(M),646
Quilandy,26,Mangottil Surendran (Baby),CPI(M),681
Quilandy,27,Payattuvalappil Nalini,DIC(K),492
Quilandy,28,K V Santhosh,CPI(M),558
Quilandy,29,Shiji P K,BJP,805
Quilandy,30,Rekha,BJP,277
Quilandy,31,Adv.M V Malini,DIC(K),444
Quilandy,32,Uslangantakathu Shameena,INDEPENDENT,490
Quilandy,33,Ashraf Marakkarakathu,ML,491
Quilandy,34,Puthiya Velikkakathu Sulaikha,INL,351
Quilandy,35,Azees,ML,295
Quilandy,36,Bhagavathykandi Krishnan,CPI(M),401
Quilandy,37,UnniKrishnan A P,CPI(M),514
Quilandy,38,Padmini,CPI(M),487
Quilandy,39,Sarasa Thazhathevalappil,CPI(M),385
Quilandy,40,Chenothu Latha,NCP,474
Quilandy,41,Fathima,ML,362
Vadakara,1,Sahadevan Koyante Veedu,INC,414
Vadakara,2,Mukkolakkal Hamsa,INL,443
Vadakara,3,Purathayil Mahamood,INDEPENDENT,399
Vadakara,4,Omana A V,CPI(M),665
Vadakara,5,Prabhakaran V K,INC,413
Vadakara,6,Sathy M,JD(S),549
Vadakara,7,Vimala Teacher P P,CPI,511
Vadakara,8,Bhaskaran T,CPI(M),564
Vadakara,9,Reena K P,CPI(M),594
Vadakara,10,Kelu T,INC,564
Vadakara,11,Krishnan Master E M,CPI(M),661
Vadakara,12,Koneth Ajitha,CPI(M),657
Vadakara,13,Koyiloth Thazhekuniyil Baby Praseetha,CPI(M),615
Vadakara,14,Savitha V P,CPI(M),664
Vadakara,15,Edayath Sreedharan,JD(S),623
Vadakara,16,Vanaja K K,JD(S),572
Vadakara,17,Vijayan P K,CPI(M),917
Vadakara,18,Dasan  V P,CPI(M),691
Vadakara,19,Kolothu Pushpaveni,CPI(M),682
Vadakara,20,Gangadharan,INC,514
Vadakara,21,Achuthan Master P,INDEPENDENT,521
Vadakara,22,Narayani M,CPI(M),447
Vadakara,23,Ramani M,CPI(M),666
Vadakara,24,Kunjabdulla Master T,CPI(M),459
Vadakara,25,Sudeer Kumar T V,INC,587
Vadakara,26,Musthafa Master P M,ML,560
Vadakara,27,Ahammad M P,ML,571
Vadakara,28,Parol Indira,CPI(M),547
Vadakara,29,Sahira M,ML,636
Vadakara,30,Ashraf T P,ML,354
Vadakara,31,Nanu C H,CPI(M),517
Vadakara,32,Mohanan A P,CPI(M),546
Vadakara,33,Kunjikkannan,CPI(M),710
Vadakara,34,Rajan C K,CPI(M),845
Vadakara,35,Geetha P,CPI,531
Vadakara,36,Kumaran M,CPI(M),441
Vadakara,37,Chandran T P,CPI(M),1056
Vadakara,38,Safiya P,ML,541
Vadakara,39,Jamal P K,ML,606
Vadakara,40,Khalid Master,ML,608
Vadakara,41,Ryhanathu Padayantavida,ML,450
Vadakara,42,Shabana T H,ML,598
Vadakara,43,Mikhdad Thayyil,INDEPENDENT,636
Vadakara,44,Muhammed Rafi P P,ML,523
Kozhikode,1,K Subair,CPI(M),2072
Kozhikode,2,M Sreeja,CPI(M),2062
Kozhikode,3,Pushpalatha,DIC(K),1706
Kozhikode,4,M Bhaskaran,CPI(M),3034
Kozhikode,5,K Ratheedevi,CPI(M),1809
Kozhikode,6,M Mahendran Master,CPI(M),2107
Kozhikode,7,Anilkumar K C,INDEPENDENT,1704
Kozhikode,8,P K Mamukoya,INC,1558
Kozhikode,9,T K Venu,CPI(M),1252
Kozhikode,10,Adv. Prathapkumar,CPI(M),2007
Kozhikode,11,P T Vasunnikurup,DIC(K),2163
Kozhikode,12,Prameela Balagopal,DIC(K),1941
Kozhikode,13,K K Kunjimon,ML,1510
Kozhikode,14,P K Salini,CPI(M),2401
Kozhikode,15,V M Muhammad,CPI(M),1482
Kozhikode,16,V Sureshmaster,CPI(M),1951
Kozhikode,17,E M Girija,CPI(M),2592
Kozhikode,18,M P Suresh,CPI(M),2368
