Vadakara,1,CHOMBAL,V  P JAYAN,SJ(D),SC
Vadakara,2,AZHIYUR,KRISHNARPPITHAM SHYAMALA,ML,Woman
Vadakara,3,KALLAMALA,K  P JAYAKUMAR,INC,General
Vadakara,4,KUNNUMMAKKARA,JASMINA KALLERI,ML,Woman
Vadakara,5,NELLACHERY,K JANU,INDEPENDENT,Woman
Vadakara,6,ORKKATTERY,M  K BHASKARAN,SJ(D),General
Vadakara,7,KARTHIKAPPALLY,EENGOLY SAKKEELA,ML,Woman
Vadakara,8,VAIKKILASSERY,N  K RADHA,CPI(M),Woman
Vadakara,9,CHORODE,ALICE VINOD,CPI(M),Woman
Vadakara,10,MUTTUNGAL,O  K KUNHABDULLA,ML,General
Vadakara,11,VELLIKULANGARA,AJITHA P  P,CPI(M),Woman
Vadakara,12,MADAPPALLY,N  P BHASKARAN MASTER,INDEPENDENT,General
Vadakara,13,KANNOOKKARA,KOTTAYIL RADHAKRISHNAN,INC,General
Tuneri,1,IRINGANNUR,THADATHIL RADHA,CPI(M),Woman
Tuneri,2,PARAKADAVU,ABDULLA VAYALOLI,ML,General
Tuneri,3,KALLUNIRA,A.K.RAVEENDRAN,CPI(M),General
Tuneri,4,NIDUMPARAMB,DEVI.N.P,CPI(M),Woman
Tuneri,5,VANIMEL,P.SURAYYA TEACHER,ML,Woman
Tuneri,6,CHERUMOTH,K.SUMITHA TEACHER,INC,Woman
Tuneri,7,NADAPURAM,LATHA.C.K. CHARTHANKANDIYIL,INC,Woman
Tuneri,8,KALLACHI,C.KUMARAN,CPI,SC
Tuneri,9,KUMMANKODE,BANGLATH MUHAMMAD,ML,General
Tuneri,10,AROOR,C.K.SUMA,CPI(M),Woman
Tuneri,11,PURAMERI,ABDULSALAM.C.P.,CPI(M),General
Tuneri,12,TUNERI,NELLIYERI BALAN,CPI(M),General
Tuneri,13,EDACHERI,T.K.LISA,CPI(M),Woman
Kunnummal,1,NARIPATTA,ADV.PRAMOD KAKKATTIL,INC,General
Kunnummal,2,MULLAMBATH,T. VALSALA,CPI(M),Woman
Kunnummal,3,KAYAKKODI,SUMATHI K P,CPI(M),Woman
Kunnummal,4,DEVARKOVIL,JULAINA K K,ML,Woman
Kunnummal,5,KARINGAD,ANNAMMA GEORGE,CPI(M),Woman
Kunnummal,6,KAVILUMPARA,SOUMINI SHAJAN,CPI(M),Woman
Kunnummal,7,MARUTHOMKARA,T.A ANEESH,CPI(M),General
Kunnummal,8,KUTTIADI,E MOHANAKRISHNAN,INC,General
Kunnummal,9,VELOM,ABDULLA K K,INC,General
Kunnummal,10,CHERAPURAM,BASHEER MANIKKOTH,ML,General
Kunnummal,11,URATH,VINILA N D,INC,Woman
Kunnummal,12,MOKERI,AJITHA NADEMMAL,CPI(M),Woman
Kunnummal,13,PATHIRIPATTA,P P SREEJITH,CPI,SC
Thodannur,1,PONMERI,USHA M.P,CPI(M),Woman
Thodannur,2,KATAMERY,KUNCHABDULLA M.P,ML,General
Thodannur,3,AYANCHERY,REENA RAYAROTH,INC,Woman
