area,ward,wardname,winner,party,quota,lsgi
Arikkulam,1,THIRUVANGAYOOR,BINDU. K.C .,CPI(M),Woman,G_AR
Arikkulam,2,KARAYAD,PREETHI .,CPI(M),Woman,G_AR
Arikkulam,3,EKKATTOOR,RAMANI.P.P,CPI(M),Woman,G_AR
Arikkulam,4,THARAMMAL,SURESH.T .,CPI(M),General,G_AR
Arikkulam,5,VAKAMOLI,E. KUNJIRAMAN,CPI,General,G_AR
Arikkulam,6,UTTERI,SAVITHRI THYKKOODATHIL,CPI(M),Woman,G_AR
Arikkulam,7,URALLOOR,V. BASHEER,CPI(M),General,G_AR
Arikkulam,8,ARIKKULAM EAST,K.K. BALAN .,INC,SC,G_AR
Arikkulam,9,ARIKKULAM WEST,BEENA.V,INC,Woman,G_AR
Arikkulam,10,MAVATT,CHANDRIKA,CPI(M),Woman,G_AR
Arikkulam,11,ARIKKULAM NORTH,PUSHPAVALLI,CPI(M),Woman,G_AR
Arikkulam,12,KANNAMBATH,PRABHAKARAN.K.P,CPI(M),General,G_AR
Arikkulam,13,KURUDI VEEDU,V.M. UNNI,CPI(M),General,G_AR
Atholi,1,MODAKKALLUR,SABEESH.B,CPI(M),SC,G_AT
Atholi,2,KOOMULLY,VALSALA.T.P,INC,SC Woman,G_AT
Atholi,3,KOTHANGAL,SATHYABHAMA.P.K,INC,Woman,G_AT
Atholi,4,KANNIPPOYIL,SUNEESH.N,INDEPENDENT,General,G_AT
Atholi,5,KODASSERY,NANNU NAIR.K,CPI(M),General,G_AT
Atholi,6,POOKKODE,A.K.RAJAN,CPI(M),General,G_AT
Atholi,7,KOLAKKAD,VIJILA SANTHOSH,CPI(M),Woman,G_AT
Atholi,8,ATHOLIKKAVU,LEELA.M,CPI(M),Woman,G_AT
Atholi,9,ATHANI,RAMA.P,INC,Woman,G_AT
Atholi,10,KONGANNUR EAST,JAISAL KAMMOTTIL,INC,General,G_AT
Atholi,11,KONGANNUR,RAMLA PAYYAM PUNATHIL,ML,Woman,G_AT
Atholi,12,KUNIYILKADAVU,MUHAMMED KOYA.K,ML,General,G_AT
Atholi,13,ATHOLI,SANDEEP KUMAR,INC,General,G_AT
Atholi,14,KUDAKKALLU,SHEEBA RAMACHANDRAN.P.P,INC,Woman,G_AT
Atholi,15,VELUR,AJITH KUMAR.K,INC,General,G_AT
Atholi,16,VELUR WEST,BINDU RAJAN.L.H,INC,Woman,G_AT
Atholi,17,THORAYI,SUDHA,CPI(M),SC Woman,G_AT
Ayancheri,1,MIDIYERI,SAJITH T,CPI(M),General,G_AY
Ayancheri,2,ANCHUKANDAM,SURENDRAN A,ML,SC,G_AY
Ayancheri,3,KEERIYANGADI,NOCHAT KUNJABULA,ML,General,G_AY
Ayancheri,4,THANEERPANTHAL,T.B MANAF MASTER,ML,General,G_AY
Ayancheri,5,KATAMERI,USHA NALUPURAKKAL,INC,Woman,G_AY
Ayancheri,6,KAMICHERI,KANNOTH BABY,INC,Woman,G_AY
Ayancheri,7,MUKKADATHUMVAYAL,T.N ABDUL NASAR,INC,General,G_AY
Ayancheri,8,THAROPPOYIL,THAYYIL ASYA TEACHER,ML,Woman,G_AY
Ayancheri,9,PANTHAPPOYIL,SHEEMA T,CPI(M),Woman,G_AY
Ayancheri,10,KUTTIYADIPPOYIL,P.K SAJITHA,CPI(M),Woman,G_AY
Ayancheri,11,NALOMKOROL,SHYBA MALLIVEETIL,INC,Woman,G_AY
Ayancheri,12,KATAMERI WEST,ARAYAKKOOL SANTHA,INC,Woman,G_AY
Ayancheri,13,MANGALADU,ABDULA PUTHIYATATH,ML,General,G_AY
Ayancheri,14,POYILPARA,K.M KUNHIRAMAN MASTER,CPI(M),General,G_AY
Ayancheri,15,KUTTIVAYAL,NANU M.K,CPI(M),General,G_AY
Ayancheri,16,KACHERIPARAMBU,REENARAJAN P.M,SJ(D),Woman,G_AY
Ayancheri,17,PONMERI,VIMALA NALLOOKKARA,CPI,Woman,G_AY
Azhiyur,1,POOZHITHALA,SHAMEERA  M,ML,Woman,G_AZ
Azhiyur,2,CHUNKAM NORTH,SUDHA K,ML,SC,G_AZ
Azhiyur,3,RAILWAY STATION,SASIDHARAN THOTTATHIL,INC,General,G_AZ
Azhiyur,4,KOTTAMALA,ASOKAN,SJ(D),General,G_AZ
Azhiyur,5,MANANKARA,MAHIJA THOTTATHIL,INC,Woman,G_AZ
Azhiyur,6,KOROTH ROAD,ANISHA,INDEPENDENT,Woman,G_AZ
Azhiyur,7,PANADA,CHATHOTH HARIS,ML,General,G_AZ
Azhiyur,8,CHIRAYIL PEEDIKA,RAGHAVAN MASTER,INC,General,G_AZ
Azhiyur,9,KALLAMALA,CHANDRAN. T.P,INDEPENDENT,General,G_AZ
Azhiyur,10,KOLARADU THERU,BINDHU P.P,CPI(M),Woman,G_AZ
Azhiyur,11,MUKKALI TOWN,REENA RAYAROTH,SJ(D),Woman,G_AZ
Azhiyur,12,CHOMBAL HARBOR,K. LEELA,SJ(D),Woman,G_AZ
Azhiyur,13,KARAPPAKKUNNU,USHA CHATHANKANDY,SJ(D),Woman,G_AZ
Azhiyur,14,AVIKKARA,M. KUNHIRAMAN,SJ(D),General,G_AZ
Azhiyur,15,KUNCHIPPALLY,V K ANIL KUMAR,INC,General,G_AZ
Azhiyur,16,ANDIKKAMBANI,CHERIYA KOYA THANGAL,ML,General,G_AZ
Azhiyur,17,CHUNGAM SOUTH,AYISHA UMMER,ML,Woman,G_AZ
Azhiyur,18,ANCHAM PEEDIKA,JASEELA KALLERI,ML,Woman,G_AZ
Balussery,1,KANHIKKAVE,SYAMALA PUTHUKKUDIKKANDY,CPI(M),Woman,G_BA
Balussery,2,THURUTHIYAD,RAGHAVAN THEKKE KELOTH,CPI(M),General,G_BA
Balussery,3,MULLOLITHARA,RAVI PUNNAPPILAVIL,NCP,General,G_BA
Balussery,4,THATHAMBATH,SAROJINI THEKKEYIL MEETHAL,CPI(M),Woman,G_BA
Balussery,5,PUTHOORVATAM,SANJEEVAN KINARULLATHIL,CPI(M),General,G_BA
Balussery,6,BALUSSERY WEST,ROOPALEKHA KOMBILATT,CPI(M),Woman,G_BA
Balussery,7,BALUSSERY NORTH,JITHESH MEETHALE MANANCHERI,INDEPENDENT,General,G_BA
Balussery,8,BALUSSERY SOUTH,VIJAYAN URALUKANDY,INC,General,G_BA
Balussery,9,PANAYI,VIJAYAN NAGATHAN KANDY,INC,General,G_BA
Balussery,10,MANNAMPOYIL,VILASINI KUNNAKKAMBALATH,INC,Woman,G_BA
Balussery,11,PANAYI WEST,MANGALADASAN THRIVENI,INC,General,G_BA
Balussery,12,KOKKALLUR EAST,SHEEBA V.K KUVVAKKATTUMMAL,INC,SC Woman,G_BA
Balussery,13,ERAMANGALAM NORTH,SEENATH MUTHUVATH,INC,Woman,G_BA
Balussery,14,ERAMANGALAM SOUTH,BALAN VADAKKAYIL MEETHAL,CPI(M),SC,G_BA
Balussery,15,KUNNAKKODI,JISHA BHARATHAN KAITHAL,CPI(M),Woman,G_BA
Balussery,16,KOONANCHERI,INDIRA KOLLAROTH,NCP,Woman,G_BA
Balussery,17,KOKKALLUR,DEVAYANI PUTHIYOTTIL,CPI(M),Woman,G_BA
Chakkittapara,1,PANNIKOTTUR,SREEMATHI RAMACHANDRAN,CPI(M),Woman,G_CK
Chakkittapara,2,CHEMPANODA,BALAKRISHNAN NADERIYIL,INC,SC,G_CK
Chakkittapara,3,KURATHIPPARA,HAMEED,ML,General,G_CK
Chakkittapara,4,POOZHITHODE,SASI C K,CPI(M),General,G_CK
Chakkittapara,5,MUTHUKAD,SUNIL KALLUNKAL,CPI(M),General,G_CK
Chakkittapara,6,CHENKOTTAKKOLLI,NISHA PANMTHOTTATHIL,CPI(M),SC Woman,G_CK
Chakkittapara,7,ELAMKAD,JAMES MATHEW,INC,General,G_CK
Chakkittapara,8,PLANTATION,BINDU VALSAN,CPI(M),Woman,G_CK
Chakkittapara,9,NARINADA,VIJAYAMMA NJANENDRAKUMAR,INC,Woman,G_CK
Chakkittapara,10,ANNAKUTTANCHAL,PRASANNAN P R,INC,General,G_CK
Chakkittapara,11,PERUVANNAMUZHY,SHEEJA SASI,CPI(M),Woman,G_CK
Chakkittapara,12,CHAKKITTAPARA,ASHOK GEORGE,INC,General,G_CK
Chakkittapara,13,KULATHUVAYAL,DAISY JOSEPH,KC(M),Woman,G_CK
Chakkittapara,14,THANNIYODE,SUJATHA MANAKKAL,CPI(M),Woman,G_CK
Chakkittapara,15,KULATHUMTHARA,SUBAIDA MAJEED,CPI,Woman,G_CK
Changaroth,1,CHERIYA KUMBALAM,SHAHARBANU,ML,Woman,G_CA
Changaroth,2,KAITHERI MUKKU,SOBHA P K,INC,Woman,G_CA
Changaroth,3,THOTTATHAM KANDI,SUVARNA APPATTA,CPI(M),Woman,G_CA
Changaroth,4,KUNNASSERI,P.M.GOPALAN,INC,General,G_CA
Changaroth,5,TARIPPILODE,K.P KUNHIRAMAN,CPI,General,G_CA
Changaroth,6,PATTANIPPARA,SEBASTIAN JOSEPH,INC,General,G_CA
Changaroth,7,AAVADUKKA,M.K RADHA,CPI(M),SC Woman,G_CA
Changaroth,8,PANTHIRIKKARA,AYISHA K.K,ML,Woman,G_CA
Changaroth,9,CHANGAROTH,K.M.SHANKARAN,ML,SC,G_CA
Changaroth,10,VILAYARA,SREEJA KOVUMMAL MEETHAL,INC,Woman,G_CA
Changaroth,11,KULAKKANDAM,K.C.KUNHABDULLA,ML,General,G_CA
Changaroth,12,KADIYANGAD,SAFIYA PADINHARAYIL,ML,Woman,G_CA
Changaroth,13,KALLUR,N.K.SUBAIDA,ML,Woman,G_CA
Changaroth,14,PURAVOOR,NASEER ANERY,ML,General,G_CA
Changaroth,15,MUTHUVANNACHA,V.K.SUMATHY,CPI(M),Woman,G_CA
Changaroth,16,KANNATTI,GIRIJA ILLATH,CPI(M),Woman,G_CA
Changaroth,17,VADAKKUMBADU,K.V KUNHIKANNAN,CPI(M),General,G_CA
Changaroth,18,PALERI,K.SADANANDAN,INC,General,G_CA
Changaroth,19,KUNIYODU,N.K.MOIDU,INC,General,G_CA
Chathamangalam,1,PULLANOOR,MOIDEENKOYA T.T,ML,General,G_CT
Chathamangalam,2,MALAYAMA,PRAJEEPA P. K,CPI(M),SC Woman,G_CT
Chathamangalam,3,MUTTAYAM,HASEENA P.V,ML,Woman,G_CT
Chathamangalam,4,EAST MALAYAMA,HAMZA N.P,ML,General,G_CT
Chathamangalam,5,KATTANGAL,K.A KHADER,ML,General,G_CT
Chathamangalam,6,PARATHAPOYIL,N.P ACHUTHAN,BJP,General,G_CT
Chathamangalam,7,EARIMALA,K.S BEENA,CPI(M),SC Woman,G_CT
Chathamangalam,8,NAYARAKUZHI,SUNITHA KUTTAKKARA,CPI(M),Woman,G_CT
Chathamangalam,9,PAZOOR,VAVAT MUHAMED,INDEPENDENT,General,G_CT
Chathamangalam,10,KOOLIMADU,E.P. VALSALA,ML,SC,G_CT
Chathamangalam,11,ARAYANCODE,ABDULGAFOOR,CPI(M),General,G_CT
Chathamangalam,12,PUTHIYADAM,SAJEEVAN,INC,General,G_CT
Chathamangalam,13,VELLALASSERY,RAJAGOPALAN K.E,CPI(M),General,G_CT
Chathamangalam,14,CHOOLUR,PUSHPA M.T,CPI(M),Woman,G_CT
Chathamangalam,15,CHETTIKADAVU,SHALU A,CPI(M),Woman,G_CT
Chathamangalam,16,VELLANOOR,BEENA. P.P,CPI(M),Woman,G_CT
Chathamangalam,17,KOOZHAKODE,REEJAMANI .P,CPI(M),Woman,G_CT
Chathamangalam,18,KOZHIMANNA,JISHA BABY,SJ(D),Woman,G_CT
Chathamangalam,19,CHATHAMANGALAM,RUGMINI V,CPI(M),Woman,G_CT
Chathamangalam,20,VENGRIMADAM,AMMUKUTTY,INC,Woman,G_CT
Chathamangalam,21,POOLAKODE,MANOJ KUMMAR .K,CPI(M),General,G_CT
Chathamangalam,22,CHENOTH,SHAILAJA C,CPI(M),Woman,G_CT
Chathamangalam,23,PULLAVOOR,PK ABOOBACKER,ML,General,G_CT
Chekkiad,1,PADINJARE THANAKKOTTUR,THODUVAYIL MAHAMOOD,ML,General,G_CE
Chekkiad,2,THANAKKOTTUR,N.K.KUNHIKELU,INC,General,G_CE
Chekkiad,3,KAYALOTTTHAZHE,SAVITHA.V,CPI(M),Woman,G_CE
Chekkiad,4,KANDIVATHUKKAL,AJITHA.P.P,CPI(M),Woman,G_CE
Chekkiad,5,KIZHAKKE KURUVANDERI,RAJANI.N.K,CPI(M),Woman,G_CE
Chekkiad,6,KURUVANTHERI,POYIL HARINDRAN,INDEPENDENT,SC,G_CE
Chekkiad,7,CHEKKIAD,SAFIYA,INC,Woman,G_CE
Chekkiad,8,SOUTH CHEKKIAD,M.K.SABIRA TEACHER,ML,Woman,G_CE
Chekkiad,9,JATHIYERI,P.K.KHALID MASTER,ML,General,G_CE
Chekkiad,10,KALLUMMAL,NASIYA AHAMMAD KURUVAYIL,ML,Woman,G_CE
Chekkiad,11,PULIYAVU,KUNHABDULLA MARUNNOLI,ML,General,G_CE
Chekkiad,12,VEVAM,A.AAMINA TEACHER,ML,Woman,G_CE
Chekkiad,13,PARAKKADAVU,C.H.SAMEERA,ML,Woman,G_CE
Chekkiad,14,UMMATHUR,AHAMMAD PUNNAKKAL,ML,General,G_CE
Chekkiad,15,NORTH UMMATHUR,C.H.HAMEED MASTER,INDEPENDENT,General,G_CE
Chelannur,1,ECHENNUR,HARSHAVARDHANAN,INC,General,G_CL
Chelannur,2,KANDANNUR,P SREEDHARANMASTER,INC,General,G_CL
Chelannur,3,MARUTHAD,P.BEEVI MUSTHAFA,ML,Woman,G_CL
Chelannur,4,AMBALAPAD,SATHYABHAMA,SJ(D),Woman,G_CL
Chelannur,5,IRUVALLUR,VANAMALI,CPI(M),General,G_CL
Chelannur,6,PERUMPOYIL,KAVITHA P.K,INC,Woman,G_CL
Chelannur,7,PALLIPPOYIL,BABEESH T M,INC,SC,G_CL
Chelannur,8,NELLIATHTHAZHAM,SALEENA ABBAS,INC,Woman,G_CL
Chelannur,9,PALATH,SANTHA MUTHIYERI,CPI(M),Woman,G_CL
Chelannur,10,UTTUKULAM,SHANTHA KUMARI K. K.,CPI(M),Woman,G_CL
Chelannur,11,MAMMILITHAZHAM,DINESAN P,CPI(M),General,G_CL
Chelannur,12,MUTHUVATTUKUNNU,GOURI PUTHIYOTH,INC,Woman,G_CL
Chelannur,13,KUMARASWAMI,VALSALA. T.,CPI(M),Woman,G_CL
Chelannur,14,KALAMKOLLITHAZHAM,V. JTHENDRANATH,INC,General,G_CL
Chelannur,15,ATHIYANATHIL THAZHAM,PUSHPA K. P.,INC,SC Woman,G_CL
Chelannur,16,THACHANKUNNU,NOUSHAD M. M.,NCP,General,G_CL
Chelannur,17,CHELANNUR,SUNIL PRAKASH A,INC,General,G_CL
Chelannur,18,PUTHIYEDATH THAZHAM,LEENA P.,INC,Woman,G_CL
Chelannur,19,OLOPPARA,PREMALEELA O,CPI(M),SC Woman,G_CL
Chelannur,20,POROTH THAZHAM,SOMANATHAN T.K,CPI(M),General,G_CL
Chelannur,21,CHIRAKKUZHI,SURESHKUMAR,SJ(D),General,G_CL
Chemanchery,1,CHEMANCHERY,NISHIDHA P,CPI(M),Woman,G_CN
Chemanchery,2,CHEMANCHERY EAST,JANARDANAN V.K,SJ(D),SC,G_CN
Chemanchery,3,KANHILASSERI,SALINI  BALAKRISHNAN K,CPI(M),Woman,G_CN
Chemanchery,4,THUVVAKKODE,VIJAYALAKSHMI KAILAS A,SJ(D),Woman,G_CN
Chemanchery,5,KOLAKKAD,RADHA T,CPI(M),Woman,G_CN
Chemanchery,6,POOKKAD EAST,ANITHA MATHILICHERY,CPI(M),Woman,G_CN
Chemanchery,7,POOKKAD,SHANTHA KALAMULLAKANDI V,CPI(M),Woman,G_CN
Chemanchery,8,VETTILAPPARA,UNNIKRISHNAN P.K,CPI(M),General,G_CN
Chemanchery,9,THIRUVANGOOR,SUGITHA CHANDRAN N,SJ(D),Woman,G_CN
Chemanchery,10,VENGALAM,NOUFAL M,CPI(M),General,G_CN
Chemanchery,11,KORAPPUZHA,INDIRA VIKAS,CPI(M),Woman,G_CN
Chemanchery,12,KATTILAPEEDIKA,SATHEESH CHANDRAN P C,CPI(M),General,G_CN
Chemanchery,13,KANNANKADAV,RASEENA SHAFI P,ML,General,G_CN
Chemanchery,14,VENGALAM WEST,GOPALAN V,CPI(M),General,G_CN
Chemanchery,15,CHEENACHERI,ANDIKKUTTI K.K,CPI(M),General,G_CN
Chemanchery,16,VIKAS NAGAR,SUNITHA T.C,CPI(M),Woman,G_CN
Chemanchery,17,KAPPAD,ABDULLAKOYA VALIYANDI,ML,General,G_CN
Chemanchery,18,KAPPAD NORTH,MUHAMMED SHAREEF V,ML,General,G_CN
Chemanchery,19,POOKKAD WEST,ABDUL HARIS V.K,INDEPENDENT,General,G_CN
Chemanchery,20,THUVAPPARA,SREEJA P.P,INC,Woman,G_CN
Chengottukavu,1,Arangadath,GANGADHARAN,INC,General,G_CG
Chengottukavu,2,Aanthatta,MANOJ N,BJP,SC,G_CG
Chengottukavu,3,Melur West,GEETHA K,CPI(M),Woman,G_CG
Chengottukavu,4,Melur East,RAJAN,CPI(M),General,G_CG
Chengottukavu,5,Elattery North,SAJINIVASANTHARAJ,BJP,Woman,G_CG
Chengottukavu,6,Elattery South,GOPI T.N,INC,General,G_CG
Chengottukavu,7,Cheliya Town,DAMODARAN NAIR,INC,General,G_CG
Chengottukavu,8,Cheliya East,PRANITHA T.K,CPI(M),Woman,G_CG
Chengottukavu,9,Cheliya South,CHANDRASEKHARAN,INC,General,G_CG
Chengottukavu,10,Kalopoyil,RAJANI,CPI(M),Woman,G_CG
Chengottukavu,11,Njanampoyil,SINDHU P,CPI(M),Woman,G_CG
Chengottukavu,12,Edakkulam Centre,ZEENATH MK,ML,Woman,G_CG
Chengottukavu,13,Poilkave,SHYAMA P,CPI(M),Woman,G_CG
Chengottukavu,14,Mangadu,SHANI,INC,Woman,G_CG
Chengottukavu,15,Kavaladu,SOFIYA,ML,Woman,G_CG
Chengottukavu,16,Edakkulam West,BALAKRISHNAN,INC,General,G_CG
Chengottukavu,17,Madakkara,HAMEED V.M,ML,General,G_CG
Cheruvannur,1,KOVUPPURAM,THARUVAYI M,CPI(M),General,G_CR
Cheruvannur,2,AVALA,ASHOKAN M M,CPI(M),General,G_CR
Cheruvannur,3,MADATHIL MUKKU,RADHA,CPI,Woman,G_CR
Cheruvannur,4,PARAPPURAM,NAFEESSA O,CPI(M),Woman,G_CR
Cheruvannur,5,KUTTOTH,SANTHA V.M,SJ(D),SC Woman,G_CR
Cheruvannur,6,MANIKKOTH,SREEJA,INC,Woman,G_CR
Cheruvannur,7,AYOLPADI,MOIDY P K,ML,General,G_CR
Cheruvannur,8,CHERUVANNUR,NALINI K,INC,Woman,G_CR
Cheruvannur,9,KANDEETHAZHA,JINIL K K,CPI(M),SC,G_CR
Cheruvannur,10,EDACHERICHAL,VALSAN N K,SJ(D),General,G_CR
Cheruvannur,11,VIYYAMCHIRA,PADMANABHAN N,INC,General,G_CR
Cheruvannur,12,PADINHARAKKARA,AMMAD V K,ML,General,G_CR
Cheruvannur,13,MUYIPPOTH,RAJI,INC,Woman,G_CR
Cheruvannur,14,VENNAROD,SANILA P,SJ(D),Woman,G_CR
Cheruvannur,15,KAKKARAMUKKU,SREELEKHA,INDEPENDENT,Woman,G_CR
Chorode,1,RAYARANGOTH,ANITHA KUZHICHALIL,CPI(M),Woman,G_CH
Chorode,2,K.T.BAZAR,K.K SUSHAMA,CPI(M),Woman,G_CH
Chorode,3,KOLANGATTHAZHA,K P GIRIJA,CPI(M),Woman,G_CH
Chorode,4,VALLIKKAD,T.M. RAJAN,CPI(M),General,G_CH
Chorode,5,VAIKKILASSERI VADAKKU,ANITHA,SJ(D),Woman,G_CH
