area,ward,wardname,winner,party,quota
Vadakara,1,KURIYADI,P ROHINI,INC,Woman
Vadakara,2,VEERANCHERY,RAJITHA,INDEPENDENT,Woman
Vadakara,3,KULANGARATH,K SAROJINI,CPI,Woman
Vadakara,4,PAZHANGAVU,A K BALAN,CPI(M),SC
Vadakara,5,ARAKKILAD,E ARAVINDAKSHAN,CPI(M),General
Vadakara,6,PARAVANTHALA,K BALAKRISHNAN,CPI(M),General
Vadakara,7,VATAKARA THERU,LEELA M,INC,Woman
Vadakara,8,CHOLAM VAYAL,E SAJITH KUMAR,CPI(M),General
Vadakara,9,KOTTAPARAMBU,PREMA KUMARI,INDEPENDENT,Woman
Vadakara,10,KAKKUZHIYIL,T I NASSAR,ML,General
Vadakara,11,KUZHICHAL,ADV. LATHIKA SREENIVAS,JD(S),Woman
Vadakara,12,CHERUSSERY,K PAVITHRAN,CPI(M),General
Vadakara,13,MAKKOOL,P K SREEJA,CPI(M),Woman
Vadakara,14,AKLOTH NADA,SHAMEERA M N,SJ(D),Woman
Vadakara,15,AREEKOTH,KARTHIKA SYAMALA GANGADHARAN,CPI(M),Woman
Vadakara,16,KALLUNIRA,P K SHYLAJA,CPI(M),Woman
Vadakara,17,KURUMBAYIL,K K DINESH KUMAR,CPI(M),General
Vadakara,18,SIDHASRAMAM,P K VIJAYAN,CPI(M),General
Vadakara,19,KUNJAMKUZHI,A P  PRAJITHA,CPI(M),Woman
Vadakara,20,PUTHIYAPPU,PREETHA P T,CPI(M),Woman
Vadakara,21,ACHAMMANDI,K P BALAN,CPI(M),General
Vadakara,22,MAMPALLY,BALAKRISHNAN P K,CPI,General
Vadakara,23,CHEERAMVEEDU,C V ASOKAN,CPI(M),General
Vadakara,24,NARAYANA NAGARAM,PARAMBATH REEJA,INC,Woman
Vadakara,25,EDODI,SADANANDAN,INDEPENDENT,General
Vadakara,26,KARIMBANA,K K MINI THAROLTHAZHA,CPI(M),Woman
Vadakara,27,CHEENAMVEEDU,JISHA K P,CPI(M),Woman
Vadakara,28,MEPPAYIL,V REEJA,CPI(M),Woman
Vadakara,29,KOKKANJATH,P BABU,CPI(M),General
Vadakara,30,CHANDANAM PARAMBU,A P MOHANAN,CPI(M),General
Vadakara,31,PUDUPPANAM,C H VIJAYAN,INC,General
Vadakara,32,NALLADATH,M RAJAN MASTER,CPI(M),General
Vadakara,33,PANIKKOTTI,P K BALAKRISHNAN,CPI(M),General
Vadakara,34,MOORAD,NALLADATH RAGHAVAN,INC,General
Vadakara,35,VELUTHAMALA,ADV.S.BIJOYLAL,INC,General
Vadakara,36,KARUKAYIL,P K UMMUKULSU,ML,Woman
